ProNr,Alternativ,År,Trafikantnytte,Kjøretøykostnader,Direkteutgifter,Tidskostnader,Nyskapt,Ulempeskostnader,Helsevirkninger,Utrygghetskostnader,Operatørkostnader,Operatørinntekter,Operatøroverføringer,Drift_vedlikehold,Offentlige_overføringer,Skatte_avgiftsinntekter,Ulykker,Støy_luft,Andre_kostnader,Skattekostnad
2,0,2061,,-8680.5439,-806.10864,-22505.115,0,-0,0,-0,-1199.567,719.74017,479.82678,-251.91035,-479.82678,608.86578,-1484.921,-494.12634,-0,-24.574274
2,0,2062,,-8469.9209,-788.11328,-22110.801,0,-0,0,-0,-1172.7881,703.67285,469.11523,-242.82602,-469.11523,593.22601,-1420.2245,-501.5401,-0,-23.743053
2,0,2063,,-8263.5938,-770.43475,-21721.533,0,-0,0,-0,-1146.4807,687.88843,458.59229,-249.13329,-458.59229,577.57257,-1358.3182,-508.45096,-0,-26.030609
2,0,2064,,-8062.7573,-753.16376,-21337.518,0,-0,0,-0,-1120.7799,672.4679,448.31195,-240.09299,-448.31195,562.66626,-1299.0225,-510.93652,-0,-25.147741
2,0,2065,,-7865.5283,-735.99237,-20958.547,0,-0,0,-0,-1095.2272,657.13635,438.09088,-231.37794,-438.09088,548.05768,-1242.1744,-513.44208,-0,-24.282232
2,0,2066,,-7671.5581,-719.31799,-20583.586,0,-0,0,-0,-1070.4142,642.24847,428.16565,-222.97493,-428.16565,533.70526,-1187.6276,-515.90002,-0,-23.487066
2,0,2067,,-7477.2021,-703.03424,-20213.896,0,-0,0,-0,-1046.1824,627.70941,418.47293,-227.90256,-418.47293,518.62958,-1135.2501,-516.70435,-0,-25.549189
3,0,2029,,-49287.68,-3702.5112,-93033.742,0,-0,0,-0,-5509.6895,3305.8135,2203.8757,-1981.3965,-2203.8757,6999.0747,-10337.864,-4320.2202,-0,562.76062
3,0,2030,,-47766.188,-3630.6821,-91644.297,0,-0,0,-0,-5402.8008,3241.6804,2161.1204,-1909.4576,-2161.1204,6408.2417,-9921.5254,-4308.9116,-0,467.53287
3,0,2031,,-46099.34,-3547.9202,-90017.953,0,-0,0,-0,-5279.6431,3167.7856,2111.8572,-1839.2576,-2111.8572,5818.3618,-9497.1768,-3985.2202,-0,373.44949
3,0,2032,,-44513.07,-3466.6394,-88430.109,0,-0,0,-0,-5158.6895,3095.2136,2063.4758,-1782.396,-2063.4758,5284.502,-9091.8662,-3688.5251,-0,287.7261
3,0,2033,,-42995.246,-3387.0178,-86875.516,0,-0,0,-0,-5040.2051,3024.123,2016.082,-1717.0436,-2016.082,4800.3076,-8704.7119,-3413.5916,-0,213.43648
3,0,2034,,-41546.008,-3308.1182,-85353.273,0,-0,0,-0,-4922.7949,2953.6768,1969.1179,-1654.1147,-1969.1179,4372.0972,-8334.8701,-3171.2561,-0,149.77293
3,0,2035,,-40164.465,-3230.9373,-83862.516,0,-0,0,-0,-4807.9419,2884.7651,1923.1769,-1593.519,-1923.1769,3988.584,-7981.5396,-2948.4233,-0,94.377632
3,0,2036,,-38854.645,-3155.9187,-82397.281,0,-0,0,-0,-4696.3076,2817.7847,1878.5231,-1535.1689,-1878.5231,3646.1177,-7643.9551,-2745.8994,-0,46.485142
3,0,2037,,-37604.664,-3082.127,-80955.07,0,-0,0,-0,-4586.498,2751.8989,1834.5992,-1478.5721,-1834.5992,3338.6787,-7321.3892,-2560.3794,-0,5.1014662
3,0,2038,,-36414.383,-3010.3516,-79537.047,0,-0,0,-0,-4479.6899,2687.814,1791.876,-1424.3672,-1791.876,3063.2905,-7013.1499,-2391.8286,-0,-30.590534
3,0,2039,,-35277.699,-2940.0557,-78140.273,0,-0,0,-0,-4375.0825,2625.0496,1750.0331,-1372.1721,-1750.0331,2816.644,-6718.5757,-2238.0498,-0,-61.112247
3,0,2040,,-34226.082,-2871.3047,-76765.992,0,-0,0,-0,-4272.7749,2563.6648,1709.11,-1321.9121,-1709.11,2634.6489,-6437.0371,-2113.8005,-0,-79.274651
3,0,2041,,-33227.785,-2804.1318,-75413.578,0,-0,0,-0,-4172.8149,2503.689,1669.1261,-1273.5145,-1669.1261,2483.4065,-6167.936,-2004.9248,-0,-91.846848
3,0,2042,,-32269.945,-2738.3179,-74083.727,0,-0,0,-0,-4074.8777,2444.9265,1629.951,-1235.8518,-1629.951,2350.5696,-5910.7002,-1906.35,-0,-103.04668
3,0,2043,,-31350.248,-2674.3296,-72776.188,0,-0,0,-0,-3979.657,2387.7942,1591.8628,-1190.6376,-1591.8628,2230.7236,-5664.7856,-1815.6156,-0,-110.35537
3,1,2022,,-60638.801,-3095.7014,-93806.07,0,-0,0,-0,-4777.3169,2866.3901,1910.9266,-1678.2013,-1910.9266,13868.906,-25101.711,-3794.8828,-0,2055.9561
3,1,2023,,-59023.223,-3027.9832,-92706.18,0,-0,0,-0,-4672.8135,2803.688,1869.1254,-1630.1387,-1869.1254,13434.476,-24421.654,-3976.5391,-0,1987.0428
3,1,2024,,-57449.887,-2961.7654,-91621.305,0,-0,0,-0,-4570.6255,2742.3752,1828.2501,-1583.3956,-1828.2501,13013.146,-23760.484,-4141.7979,-0,1920.3004
3,1,2025,,-55917.656,-2897.0139,-90551.258,0,-0,0,-0,-4470.7007,2682.4202,1788.2802,-1538.0854,-1788.2802,12604.517,-23117.381,-4291.4795,-0,1855.6307
3,1,2026,,-54398.418,-2830.8298,-89495.828,0,-0,0,-0,-4368.5645,2621.1387,1747.4258,-1493.7776,-1747.4258,12196.572,-22492.635,-4418.6411,-0,1791.0742
3,1,2027,,-52918.941,-2766.1687,-88454.836,0,-0,0,-0,-4268.7788,2561.2673,1707.5115,-1450.9877,-1707.5115,11801.088,-21885.348,-4531.0835,-0,1728.5182
3,1,2028,,-51478.168,-2702.9958,-87428.086,0,-0,0,-0,-4171.29,2502.7739,1668.516,-1409.4598,-1668.516,11417.688,-21295.045,-4629.5815,-0,1667.9427
3,1,2029,,-49864.227,-2628.0344,-86027.836,0,-0,0,-0,-4055.6084,2433.365,1622.2433,-1368.2357,-1622.2433,10999.139,-20647.926,-4696.355,-0,1601.7324
3,1,2030,,-48299.176,-2555.1499,-84651.422,0,-0,0,-0,-3943.1326,2365.8794,1577.2531,-1328.2346,-1577.2531,10595.178,-20021.469,-4749.9067,-0,1537.9385
3,1,2031,,-46770.602,-2490.6685,-83298.414,0,-0,0,-0,-3843.624,2306.1743,1537.4496,-1289.4198,-1537.4496,10238.147,-19414.293,-4594.0312,-0,1482.2559
3,1,2032,,-45290.645,-2427.8354,-81968.617,0,-0,0,-0,-3746.6594,2247.9956,1498.6638,-1251.7557,-1498.6638,9893.0957,-18825.943,-4443.311,-0,1428.5355
3,1,2033,,-43857.73,-2366.6028,-80661.219,0,-0,0,-0,-3652.1648,2191.2988,1460.8658,-1222.9504,-1460.8658,9559.6152,-18255.246,-4297.5737,-0,1375.1602
3,1,2034,,-42470.402,-2306.9495,-79377.141,0,-0,0,-0,-3560.1069,2136.0642,1424.0428,-1187.3398,-1424.0428,9237.335,-17702.445,-4156.6587,-0,1325.1908
3,1,2035,,-41127.047,-2248.8032,-78114.195,0,-0,0,-0,-3470.3752,2082.2251,1388.1501,-1152.7822,-1388.1501,8925.8223,-17167.109,-4020.373,-0,1276.9783
3,1,2036,,-39905.441,-2193.2771,-76874.508,0,-0,0,-0,-3384.6868,2030.812,1353.8748,-1119.246,-1353.8748,8654.0596,-16648.453,-3904.5156,-0,1236.188
3,1,2037,,-38721.137,-2139.2087,-75659.328,0,-0,0,-0,-3301.248,1980.7488,1320.4991,-1086.7007,-1320.4991,8390.9092,-16145.46,-3792.2344,-0,1196.7422
3,1,2038,,-37572.098,-2086.4377,-74461.906,0,-0,0,-0,-3219.8113,1931.8867,1287.9244,-1054.8119,-1287.9244,8135.771,-15658.356,-3683.2104,-0,1158.6072
3,1,2039,,-36457.918,-2034.9657,-73282.438,0,-0,0,-0,-3140.3789,1884.2274,1256.1516,-1024.0923,-1256.1516,7888.6445,-15186.443,-3577.5107,-0,1121.6803
3,1,2040,,-35375.945,-1984.8461,-72132.883,0,-0,0,-0,-3063.0339,1837.8204,1225.2136,-994.28107,-1225.2136,7648.6562,-14728.492,-3474.5701,-0,1085.8325
3,1,2041,,-34285.402,-1933.8191,-70809.68,0,-0,0,-0,-2984.2886,1790.5731,1193.7155,-964.87604,-1193.7155,7414.502,-14251.512,-3376.5125,-0,1051.1824
3,1,2042,,-33227.73,-1884.1946,-69522.188,0,-0,0,-0,-2907.7075,1744.6245,1163.083,-936.34808,-1163.083,7187.1733,-13790.214,-3280.9509,-0,1017.5487
3,1,2043,,-32204.422,-1835.7699,-68248.547,0,-0,0,-0,-2832.9783,1699.787,1133.1913,-908.67078,-1133.1913,6967.436,-13343.573,-3188.5278,-0,985.11499
3,1,2044,,-31212.992,-1788.6481,-67003.562,0,-0,0,-0,-2760.2593,1656.1555,1104.1036,-881.8186,-1104.1036,6754.5039,-12912.027,-3098.7419,-0,953.71661
3,1,2045,,-30249.533,-1742.5496,-65778.055,0,-0,0,-0,-2689.1196,1613.4718,1075.6478,-860.55933,-1075.6478,6548.1338,-12494.946,-3011.6619,-0,922.3855
3,0,2044,,-30464.057,-2611.8711,-71490.969,0,-0,0,-0,-3886.7129,2332.0278,1554.6852,-1155.8898,-1554.6852,2121.282,-5429.6738,-1731.5857,-0,-117.85862
3,0,2045,,-29608.848,-2550.9121,-70227.977,0,-0,0,-0,-3796,2277.6001,1518.4,-1113.6228,-1518.4,2020.595,-5204.8711,-1653.3898,-0,-122.2856
3,0,2046,,-28783.316,-2491.2581,-68984.68,0,-0,0,-0,-3707.229,2224.3374,1482.8916,-1097.3053,-1482.8916,1927.7097,-4989.9053,-1580.5684,-0,-130.49747
3,0,2047,,-27984.994,-2433.2144,-67765.391,0,-0,0,-0,-3620.8545,2172.5127,1448.3418,-1057.158,-1448.3418,1841.4971,-4784.3296,-1512.4818,-0,-132.80057
3,0,2048,,-27213.064,-2376.5725,-66567.805,0,-0,0,-0,-3536.5662,2121.9397,1414.6265,-1018.4971,-1414.6265,1761.5166,-4587.7153,-1448.7927,-0,-134.32143
3,0,2049,,-26468.973,-2320.8308,-65385.469,0,-0,0,-0,-3453.6172,2072.1704,1381.4469,-981.26721,-1381.4469,1687.6702,-4399.6543,-1389.543,-0,-135.00882
3,0,2050,,-25746.326,-2266.8772,-64230.824,0,-0,0,-0,-3373.3291,2023.9974,1349.3317,-945.41473,-1349.3317,1618.1191,-4219.7593,-1333.4407,-0,-135.32549
3,0,2051,,-25046.234,-2214.196,-63097.465,0,-0,0,-0,-3294.9348,1976.9608,1317.9739,-910.88831,-1317.9739,1552.9296,-4047.6592,-1280.6001,-0,-135.18655
3,0,2052,,-24368.025,-2162.8025,-61985.016,0,-0,0,-0,-3218.4561,1931.0737,1287.3824,-877.63843,-1287.3824,1491.7341,-3883.0012,-1230.7672,-0,-134.65738
3,0,2053,,-23710.576,-2112.6218,-60893.832,0,-0,0,-0,-3143.7822,1886.2694,1257.5129,-845.61737,-1257.5129,1434.0942,-3725.449,-1183.6536,-0,-133.80725
3,0,2054,,-23073.295,-2063.7212,-59824.105,0,-0,0,-0,-3071.0137,1842.6083,1228.4055,-814.7793,-1228.4055,1379.7699,-3574.6816,-1157.9104,-0,-132.68301
3,0,2055,,-22452.004,-2015.8367,-58772.383,0,-0,0,-0,-2999.7568,1799.8541,1199.9027,-785.08014,-1199.9027,1327.7048,-3430.3931,-1140.517,-0,-131.45563
3,0,2056,,-21852.428,-1969.3276,-57744.793,0,-0,0,-0,-2930.5471,1758.3282,1172.2189,-756.47736,-1172.2189,1279.1415,-3292.2922,-1124.7047,-0,-129.91098
3,0,2057,,-21270.578,-1924.2979,-56743.59,0,-0,0,-0,-2863.5386,1718.123,1145.4154,-728.93011,-1145.4154,1233.064,-3160.1008,-1109.9569,-0,-128.25635
3,0,2058,,-20705.924,-1880.1285,-55761.492,0,-0,0,-0,-2797.8103,1678.6862,1119.1241,-721.25238,-1119.1241,1189.3641,-3033.5537,-1096.2332,-0,-130.20251
